Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,3,Passenger 0,male,22.0,1,0,T00000,7.25,,S
1,1,Passenger 1,female,38.0,1,0,T00001,71.2833,C,C
1,3,Passenger 2,female,26.0,0,0,T00002,7.925,,S
1,1,Passenger 3,female,35.0,1,0,T00003,53.1,C,S
0,3,Passenger 4,male,35.0,0,0,T00004,8.05,,S
0,3,Passenger 5,male,,0,0,T00005,8.4583,,Q
0,1,Passenger 6,male,54.0,0,0,T00006,51.8625,E,S
0,3,Passenger 7,male,2.0,3,1,T00007,21.075,,S
1,3,Passenger 8,female,27.0,0,2,T00008,11.1333,,S
1,2,Passenger 9,female,14.0,1,0,T00009,30.0708,,C
1,3,Passenger 10,female,4.0,1,1,T00010,16.7,G,S
1,1,Passenger 11,female,58.0,0,0,T00011,26.55,C,S
0,3,Passenger 12,male,20.0,0,0,T00012,8.05,,S
0,3,Passenger 13,male,39.0,1,5,T00013,31.275,,S
0,3,Passenger 14,female,14.0,0,0,T00014,7.8542,,S
1,2,Passenger 15,female,55.0,0,0,T00015,16.0,,S
0,3,Passenger 16,male,2.0,4,1,T00016,29.125,,Q
1,2,Passenger 17,male,,0,0,T00017,13.0,,S
0,3,Passenger 18,female,31.0,1,0,T00018,18.0,,S
1,3,Passenger 19,female,,0,0,T00019,7.225,,C
0,2,Passenger 20,male,35.0,0,0,T00020,26.0,,S
1,2,Passenger 21,male,34.0,0,0,T00021,13.0,D,S
1,3,Passenger 22,female,15.0,0,0,T00022,8.0292,,Q
1,1,Passenger 23,male,28.0,0,0,T00023,35.5,A,S
0,3,Passenger 24,female,8.0,3,1,T00024,21.075,,S
1,3,Passenger 25,female,38.0,1,5,T00025,31.3875,,S
0,3,Passenger 26,male,,0,0,T00026,7.225,,C
0,1,Passenger 27,male,19.0,3,2,T00027,263.0,C,S
1,3,Passenger 28,female,,0,0,T00028,7.8792,,Q
0,3,Passenger 29,male,,0,0,T00029,7.8958,,S
0,1,Passenger 30,male,40.0,0,0,T00030,27.7208,,C
1,1,Passenger 31,female,,1,0,T00031,146.5208,B,C
1,3,Passenger 32,female,,0,0,T00032,7.75,,Q
0,2,Passenger 33,male,66.0,0,0,T00033,10.5,,S
0,1,Passenger 34,male,28.0,1,0,T00034,82.1708,,C
0,1,Passenger 35,male,42.0,1,0,T00035,52.0,,S
1,3,Passenger 36,male,,0,0,T00036,7.2292,,C
0,3,Passenger 37,male,21.0,0,0,T00037,8.05,,S
0,3,Passenger 38,female,18.0,2,0,T00038,18.0,,S
1,3,Passenger 39,female,14.0,1,0,T00039,11.2417,,C
0,3,Passenger 40,female,40.0,1,0,T00040,9.475,,S
0,2,Passenger 41,female,27.0,1,0,T00041,21.0,,S
